Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2025-11-22T23:20:54+0200,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,,,-0.02,USD
2025-11-21T17:39:10+0200,Trade,Sell to Open,SELL_TO_OPEN,GRAB  260417C00010000,Equity Option,Sold 1 GRAB 04/17/26 Call 10.00 @ 0.07,7.00,1,7.00,-1.00,-0.12,100,GRAB,GRAB,4/17/26,10.0,CALL,422297191,5.88,USD
2025-11-21T17:39:10+0200,Trade,Buy to Open,BUY_TO_OPEN,GRAB  260417C00006000,Equity Option,Bought 1 GRAB 04/17/26 Call 6.00 @ 0.34,-34.00,1,-34.00,-1.00,-0.12,100,GRAB,GRAB,4/17/26,6.0,CALL,422297191,-35.12,USD
2025-11-21T17:17:36+0200,Trade,Sell to Close,SELL_TO_CLOSE,TSLL  280121C00020000,Equity Option,Sold 1 TSLL 01/21/28 Call 20.00 @ 8.32,832.00,1,832.00,0.00,-0.12,100,TSLL,TSLL,1/21/28,20.0,CALL,421122704,831.88,USD
2025-11-21T17:17:36+0200,Trade,Buy to Open,BUY_TO_OPEN,TSLL  280121C00015000,Equity Option,Bought 1 TSLL 01/21/28 Call 15.00 @ 9.09,-909.00,1,-909.00,-1.00,-0.12,100,TSLL,TSLL,1/21/28,15.0,CALL,421122704,-910.12,USD
2025-11-20T20:53:55+0200,Trade,Buy to Open,BUY_TO_OPEN,IBIT,Equity,Bought 1 IBIT @ 48.90,-48.90,1,-48.90,0.00,0.00,,,,,,,421933117,-48.90,USD
2025-11-20T19:36:07+0200,Trade,Sell to Close,SELL_TO_CLOSE,SPY   251121P00660000,Equity Option,Sold 1 SPY 11/21/25 Put 660.00 @ 7.81,781.00,1,781.00,0.00,-0.12,100,SPY,SPY,11/21/25,660.0,PUT,422144687,780.88,USD
2025-11-20T19:36:07+0200,Trade,Buy to Close,BUY_TO_CLOSE,SPY   251121P00655000,Equity Option,Bought 1 SPY 11/21/25 Put 655.00 @ 5.38,-538.00,1,-538.00,0.00,-0.12,100,SPY,SPY,11/21/25,655.0,PUT,422144687,-538.12,USD
2025-11-19T18:50:22+0200,Trade,Buy to Open,BUY_TO_OPEN,IBIT,Equity,Bought 1 IBIT @ 50.70,-50.70,1,-50.70,0.00,0.00,,,,,,,421667920,-50.70,USD
2025-11-17T19:46:07+0200,Trade,Buy to Open,BUY_TO_OPEN,IBIT,Equity,Bought 1 IBIT @ 52.56,-52.56,1,-52.56,0.00,0.00,,,,,,,396047463,-52.56,USD
2025-11-15T22:37:11+0200,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,0.00,0,,--,0.00,,,,,,,,0.00,USD
2025-11-13T22:17:59+0200,Trade,Buy to Open,BUY_TO_OPEN,IBIT,Equity,Bought 1 IBIT @ 55.55,-55.55,1,-55.55,0.00,0.00,,,,,,,394376166,-55.55,USD
2025-11-08T19:39:16+0200,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,,,-0.02,USD
2025-11-04T19:04:00+0200,Trade,Buy to Open,BUY_TO_OPEN,IBIT,Equity,Bought 1 IBIT @ 57.72,-57.72,1,-57.72,0.00,0.00,,,,,,,396047457,-57.72,USD
2025-11-04T16:30:00+0200,Trade,Buy to Open,BUY_TO_OPEN,ECNS,Equity,Bought 1 ECNS @ 35.95,-35.95,1,-35.95,0.00,0.00,,,,,,,418084593,-35.95,USD
2025-11-03T21:11:12+0200,Trade,Sell to Close,SELL_TO_CLOSE,UUUU  251219C00025000,Equity Option,Sold 1 UUUU 12/19/25 Call 25.00 @ 1.39,139.00,1,139.00,0.00,-0.12,100,UUUU,UUUU,12/19/25,25.0,CALL,418093171,138.88,USD
2025-11-03T21:11:12+0200,Trade,Buy to Open,BUY_TO_OPEN,UUUU  251219C00020000,Equity Option,Bought 1 UUUU 12/19/25 Call 20.00 @ 2.28,-228.00,1,-228.00,-1.00,-0.12,100,UUUU,UUUU,12/19/25,20.0,CALL,418093171,-229.12,USD
2025-11-03T17:29:29+0200,Trade,Sell to Open,SELL_TO_OPEN,ETHA  260320C00035000,Equity Option,Sold 1 ETHA 03/20/26 Call 35.00 @ 2.88,288.00,1,288.00,-1.00,-0.12,100,ETHA,ETHA,3/20/26,35.0,CALL,417982677,286.88,USD
2025-11-03T17:29:29+0200,Trade,Buy to Open,BUY_TO_OPEN,ETHA  260320C00030000,Equity Option,Bought 1 ETHA 03/20/26 Call 30.00 @ 4.26,-426.00,1,-426.00,-1.00,-0.12,100,ETHA,ETHA,3/20/26,30.0,CALL,417982677,-427.12,USD
2025-11-03T16:46:36+0200,Trade,Buy to Close,BUY_TO_CLOSE,AMKR  260618C00035000,Equity Option,Bought 1 AMKR 06/18/26 Call 35.00 @ 7.61,-761.00,1,-761.00,0.00,-0.12,100,AMKR,AMKR,6/18/26,35.0,CALL,417965788,-761.12,USD
2025-11-03T16:46:36+0200,Trade,Sell to Close,SELL_TO_CLOSE,AMKR  260618C00030000,Equity Option,Sold 1 AMKR 06/18/26 Call 30.00 @ 10.15,"1,015.00",1,"1,015.00",0.00,-0.12,100,AMKR,AMKR,6/18/26,30.0,CALL,417965788,"1,014.88",USD
2025-11-01T21:11:25+0200,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.03,0,,--,0.00,,,,,,,,-0.03,USD
2025-10-31T15:43:49+0200,Trade,Buy to Open,BUY_TO_OPEN,ECNS,Equity,Bought 1 ECNS @ 35.92,-35.92,1,-35.92,0.00,0.00,,,,,,,416276226,-35.92,USD
2025-10-28T16:12:40+0200,Trade,Buy to Open,BUY_TO_OPEN,ECNS,Equity,Bought 1 ECNS @ 36.23,-36.23,1,-36.23,0.00,0.00,,,,,,,416276236,-36.23,USD
2025-10-28T15:30:01+0200,Trade,Buy to Close,BUY_TO_CLOSE,GRAB  251031C00007500,Equity Option,Bought 1 GRAB 10/31/25 Call 7.50 @ 0.23,-23.00,1,-23.00,0.00,-0.12,100,GRAB,GRAB,10/31/25,7.5,CALL,416306556,-23.12,USD
